playerId,topShotSpeed,skatingSpeed,totalDistanceSkated,distanceMaxGame,longShots,longGoals,midShots,midGoals,highShots,highGoals,offensiveZonePctg,neutralZonePctg,defensiveZonePctg,Behind the Net Shots,Beyond Red Line Shots,Center Point Shots,Crease Shots,High Slot Shots,L Circle Shots,L Corner Shots,L Net Side Shots,L Point Shots,Low Slot Shots,Offensive Neutral Zone Shots,Outside L Shots,Outside R Shots,R Circle Shots,R Corner Shots,R Net Side Shots,R Point Shots
8478498,146.3376,36.548,308.0742,5.2403,14,1,59,6,73,12,0.43025863,0.1868892,0.38285217,1,5,4,5,23,22,0,5,8,68,6,11,3,14,0,7,2
8476958,151.745,35.95,398.9824,6.4024,93,1,24,1,13,1,0.45777907,0.18715751,0.35506341,0,15,26,0,5,13,0,4,58,13,1,15,0,6,0,0,9
8482110,143.7627,35.796,352.032,5.7462,10,0,45,3,76,12,0.4180392,0.18523455,0.39672625,2,2,6,2,16,13,0,0,2,74,0,7,6,16,1,5,2
8476483,151.5036,34.973,336.6753,6.2605,17,0,66,7,61,12,0.43956023,0.18942921,0.37101056,3,1,6,5,32,13,0,10,5,56,4,9,8,21,1,4,6
8475197,155.2534,35.785,319.0253,5.8372,100,2,26,3,4,0,0.46272581,0.1739911,0.36328309,0,2,57,0,12,6,0,1,3,4,0,2,11,8,0,3,40
8479661,145.7905,36.222,314.0614,5.8392,7,0,31,5,66,18,0.39193897,0.17009299,0.43796804,1,2,3,1,8,10,1,0,3,65,1,3,5,13,0,7,1
8479977,143.4247,36.326,334.5381,5.3017,5,1,27,5,71,13,0.42279614,0.18441884,0.39278502,0,1,3,13,10,9,0,3,1,58,0,0,7,8,0,0,1
8474716,144.6317,35.64,321.3312,6.2824,49,2,30,5,12,2,0.44879602,0.17411133,0.37709265,0,1,22,0,9,1,0,2,4,12,1,4,15,20,0,2,23
8482093,135.0722,36.562,256.3485,5.1191,4,0,30,5,59,11,0.4679191,0.1910153,0.34106559,0,0,1,0,9,10,0,2,1,59,3,2,5,11,0,5,2
8480039,152.775,38.545,357.9461,6.4456,26,2,52,5,33,6,0.46053969,0.18753968,0.35192063,0,9,13,4,18,17,0,5,8,29,1,11,14,17,2,6,5
8470621,154.2234,35.404,271.4241,5.0618,8,0,38,2,89,14,0.4480864,0.1757298,0.37618381,2,0,2,5,17,5,0,2,3,84,1,1,7,16,0,5,3
8475169,147.094,37.138,209.8785,6.0431,17,1,49,3,57,17,0.44481055,0.18229752,0.37289194,0,3,6,1,19,21,0,5,5,56,1,9,3,9,0,8,6
8481557,144.503,34.508,186.6786,5.0837,15,0,43,6,32,6,0.44232748,0.18404866,0.37362385,0,0,6,0,19,14,0,2,6,32,3,4,7,10,0,7,3
8477015,143.8914,36.162,344.042,6.8028,12,0,43,4,41,5,0.40974913,0.17451963,0.41573124,0,2,2,4,14,7,0,2,4,37,2,5,9,22,0,5,6
8482222,137.6955,36.019,320.7622,5.5643,7,0,37,2,43,7,0.40020179,0.19131253,0.40848568,0,0,1,3,15,13,0,4,5,40,5,1,3,9,0,3,1
8477503,143.473,36.513,235.9898,4.5224,11,0,42,4,24,7,0.41678465,0.18767552,0.39553982,1,4,5,3,12,16,1,2,4,21,3,6,8,14,0,2,2
8476419,143.4569,36.353,343.9312,5.6106,12,0,36,6,58,12,0.41031601,0.17690749,0.4127765,1,3,4,3,19,10,0,3,3,55,5,1,5,7,1,1,5
8478462,149.1057,34.669,326.8816,5.2843,6,0,46,8,76,7,0.43925726,0.1820094,0.37873334,1,5,4,6,23,9,0,2,1,70,3,1,2,14,0,3,1
8479525,150.7312,36.534,267.4007,4.7218,8,0,56,5,58,13,0.43236857,0.17422391,0.39340752,1,0,3,2,22,14,0,4,2,56,2,9,17,20,0,4,3
8476885,157.1363,35.276,411.6189,6.3093,119,6,36,2,21,2,0.42880063,0.1788723,0.39232707,0,9,27,2,15,5,0,1,15,19,4,1,5,16,1,7,77
8474150,157.2812,35.663,378.0838,6.0932,27,1,81,6,48,3,0.42244094,0.17512974,0.40242931,1,5,12,3,29,28,1,6,9,45,5,17,13,24,0,10,6
8476869,153.9338,36.05,398.1477,5.9612,95,2,41,5,12,1,0.45039917,0.18758382,0.36201701,0,7,27,1,11,26,1,4,67,11,3,18,3,4,0,0,1
8477949,147.609,36.611,244.5499,6.0167,19,1,51,4,43,6,0.41239807,0.18547359,0.40212834,0,2,4,1,20,13,0,3,6,42,5,5,9,18,0,2,9
8475191,142.7005,36.227,268.499,5.7973,11,0,48,3,58,12,0.42514217,0.188227,0.38663083,2,3,1,6,17,19,0,3,5,52,2,10,8,12,1,4,5
8478469,150.1518,35.274,358.9205,8.3695,86,2,40,3,14,2,0.44139119,0.17615229,0.38245652,3,9,34,2,7,20,0,2,46,12,6,8,3,13,0,2,6
8477476,153.8533,36.134,282.1166,4.9086,22,1,49,5,57,13,0.40361376,0.17885766,0.41752858,1,1,8,6,20,19,0,2,6,51,2,8,9,10,0,4,8
8479410,151.4715,36.992,384.0368,6.4093,100,2,25,2,8,2,0.42331098,0.18072034,0.39596868,0,5,41,0,16,6,0,0,37,8,5,3,2,3,0,1,22
8479425,153.0647,35.753,392.2873,6.2984,64,3,24,2,9,0,0.40208102,0.17933302,0.41858596,0,12,20,1,2,14,0,3,6,8,5,4,7,8,0,5,38
8481528,139.6911,36.991,331.7401,5.1897,18,0,57,5,52,8,0.41266281,0.18636215,0.40097504,1,0,6,2,24,14,0,3,2,50,2,2,20,19,0,5,10
8474037,144.8088,36.367,315.2883,4.9891,13,0,50,7,90,16,0.44023614,0.17556938,0.38419449,0,1,3,10,23,20,0,4,6,80,3,12,3,7,0,10,4
8474157,145.0341,36.385,165.1154,5.2357,20,1,58,6,33,8,0.44757651,0.19597321,0.35645028,0,1,6,1,15,17,0,4,5,32,4,9,14,26,0,5,9
8470612,157.249,34.594,246.4824,5.5599,21,0,37,2,21,1,0.42833728,0.18165698,0.39000574,3,4,4,0,10,16,0,1,7,21,3,3,7,11,0,4,10
8479514,137.5506,36.598,262.5668,6.2105,2,0,14,2,38,12,0.38126216,0.18420789,0.43452995,0,1,1,0,7,2,0,2,0,38,0,1,1,5,1,5,1
8473604,135.3941,36.929,321.0557,5.7238,12,0,36,2,49,9,0.42737465,0.16998765,0.4026377,0,3,3,4,10,13,0,3,8,45,2,7,8,13,0,5,1
8478055,159.8722,36.446,348.5222,5.9553,74,4,42,2,11,3,0.42884354,0.19520702,0.37594944,0,10,20,0,13,23,0,2,48,11,2,4,0,6,0,0,6
8477504,151.4715,34.929,444.6232,7.5638,96,1,50,7,15,3,0.44405266,0.18694056,0.36900679,0,2,58,0,19,16,0,2,31,15,1,7,0,15,0,0,7
8480113,152.4371,37.189,356.1847,5.8393,28,0,57,4,74,10,0.42891889,0.17516772,0.39591339,0,9,5,3,21,28,0,5,19,71,2,21,13,8,0,6,4
8477505,146.7883,35.989,356.2492,5.9619,9,0,32,0,36,8,0.43471155,0.17696649,0.38832196,0,0,4,2,13,9,0,2,3,34,3,6,4,10,0,3,2
8477986,159.5021,37.147,357.9651,6.247,68,4,45,4,16,2,0.44708005,0.19168633,0.36123362,0,5,15,0,16,5,0,1,12,16,3,2,11,24,0,2,41
