assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
28,24,46,0.25,3,62,28,Rust,1,20,8475810,10,56,0.90322,R,3,9,20232024,1,1,0.14285,R,196,Bryan Rust,PIT,1174.6935
27,18,38,0.43306,3,71,29,Thompson,0,43,8479420,-1,56,0.78873,C,9,16,20232024,2,2,0.11788,R,246,Tage Thompson,BUF,1087.0845
37,14,37,0.51764,2,79,19,Drouin,1,28,8477494,12,56,0.70886,L,5,19,20232024,0,0,0.1496,L,127,Jonathan Drouin,COL,1091.1139
46,8,27,,2,81,10,Gostisbehere,0,16,8476906,-16,56,0.69135,D,2,29,20232024,0,0,0.07194,L,139,Shayne Gostisbehere,DET,1145.2469
45,9,39,,4,82,11,Karlsson,2,44,8474578,4,56,0.68292,D,2,17,20232024,0,0,0.05164,R,213,Erik Karlsson,PIT,1456.1097
32,20,46,0.57142,5,76,23,Tarasenko,0,12,8475765,13,55,0.72368,R,3,9,20232024,0,0,0.14838,L,155,Vladimir Tarasenko,"OTT,FLA",944.2105
22,22,37,0.38028,4,79,33,Toffoli,1,14,8475726,-6,55,0.6962,C,11,18,20232024,0,0,0.1441,R,229,Tyler Toffoli,"NJD,WPG",1017.6075
35,14,41,0.45555,4,80,20,Byfield,0,42,8482124,19,55,0.6875,R,6,14,20232024,0,0,0.12422,L,161,Quinton Byfield,LAK,989.025
36,12,34,0.30434,3,81,19,Bunting,0,57,8478047,-19,55,0.67901,L,7,21,20232024,0,0,0.11309,L,168,Michael Bunting,"CAR,PIT",941.1358
45,7,33,,2,71,9,Heiskanen,0,36,8480036,8,54,0.76056,D,2,21,20232024,0,0,0.05555,L,162,Miro Heiskanen,DAL,1472.4225
36,12,35,0.4635,3,75,18,Kurashev,1,23,8480798,-44,54,0.72,C,6,19,20232024,0,0,0.14062,L,128,Philipp Kurashev,CHI,1141.1066
34,16,41,0.33333,5,76,20,Terry,1,24,8478873,-10,54,0.71052,R,4,13,20232024,0,0,0.11627,R,172,Troy Terry,ANA,1097.2763
24,23,45,0.44927,7,78,30,Coleman,0,76,8476399,19,54,0.6923,L,3,3,20232024,4,6,0.15706,L,191,Blake Coleman,CGY,1027.9871
24,20,34,0.38235,8,82,30,Palmieri,1,26,8475151,-16,54,0.65853,C,10,20,20232024,0,0,0.13761,R,218,Kyle Palmieri,NYI,1033.1829
25,12,30,0.28571,6,54,28,Nichushkin,2,22,8477501,5,53,0.98148,R,16,21,20232024,0,2,0.17721,L,158,Valeri Nichushkin,COL,1281.0185
37,10,35,0.0,5,56,16,Stone,1,22,8475913,1,53,0.94642,R,4,14,20232024,2,4,0.13675,R,117,Mark Stone,VGK,1164.4285
28,15,32,0.47142,4,76,25,Teravainen,0,10,8476882,15,53,0.69736,C,9,17,20232024,1,4,0.17605,L,142,Teuvo Teravainen,CAR,984.1052
29,16,40,0.34057,3,77,24,Necas,2,42,8480039,-9,53,0.68831,C,8,13,20232024,0,0,0.10389,R,231,Martin Necas,CAR,1041.3766
25,23,45,0.42222,4,78,28,Tippett,1,12,8480015,-5,53,0.67948,R,5,8,20232024,0,0,0.09688,R,289,Owen Tippett,PHI,995.1666
31,16,42,0.44444,3,81,22,Marchment,0,54,8478975,22,53,0.65432,L,6,11,20232024,0,0,0.14666,L,150,Mason Marchment,DAL,903.5555
